query	runtime_sec	exit_code	hits
s3-0000-0000	346	0	3538
s3-0000-0001	291	0	1615
s3-0000-0002	344	0	3524
s3-0000-0003	415	0	6048
s3-0000-0004	319	0	2454
s3-0000-0005	337	0	3427
s3-0000-0006	410	0	5716
s3-0000-0007	237	0	0
s3-0001-0000	436	0	6618
s3-0001-0001	373	0	4399
s3-0001-0002	425	0	6245
s3-0001-0003	320	0	1890
s3-0001-0004	388	0	4925
s3-0001-0005	413	0	5580
s3-0001-0006	461	0	7979
s3-0001-0007	288	0	1339
s3-0002-0000	452	0	7013
s3-0002-0001	404	0	5668
s3-0002-0002	464	0	7159
s3-0002-0003	465	0	7943
s3-0002-0004	421	0	5850
s3-0002-0005	355	0	2740
s3-0002-0006	465	0	8056
s3-0002-0007	470	0	8185
s3-0003-0000	369	0	4079
s3-0003-0001	324	0	2517
s3-0003-0002	374	0	4467
s3-0003-0003	366	0	4010
s3-0003-0004	302	0	1928
s3-0003-0005	389	0	5123
s3-0003-0006	380	0	4448
s3-0003-0007	239	0	1
s3-0004-0000	540	0	6799
s3-0004-0001	440	0	4622
s3-0004-0002	483	0	6248
s3-0004-0003	530	0	7833
s3-0004-0004	442	0	4661
s3-0004-0005	474	0	5593
s3-0004-0006	391	0	2020
s3-0004-0007	418	0	1377
s4-0000-0000	244	0	34
s4-0000-0001	238	0	10
s4-0000-0002	233	0	9
s4-0000-0003	236	0	42
s4-0000-0004	241	0	16
s4-0000-0005	44	0	176
s4-0000-0006	39	0	15
s4-0000-0007	39	0	0
s4-0000-0008	38	0	4
s4-0000-0009	70	0	5
s4-0000-0010	38	0	1
s4-0000-0011	38	0	2
s4-0000-0012	31	0	7
s4-0000-0013	31	0	3
s4-0000-0014	32	0	0
s4-0000-0015	31	0	0
s4-0001-0000	49	0	78
s4-0001-0001	48	0	63
s4-0001-0002	42	0	9
s4-0001-0003	43	0	6
s4-0001-0004	89	0	20
s4-0001-0005	60	0	389
s4-0001-0006	50	0	50
s4-0001-0007	39	0	0
s4-0001-0008	39	0	7
s4-0001-0009	39	0	3
s4-0001-0010	42	0	1
s4-0001-0011	41	0	0
s4-0001-0012	42	0	2
s4-0001-0013	44	0	0
s4-0001-0014	52	0	1
s4-0001-0015	55	0	0
s4-0002-0000	61	0	1249
s4-0002-0001	81	0	386
s4-0002-0002	40	0	287
s4-0002-0003	42	0	321
s4-0002-0004	47	0	466
s4-0002-0005	40	0	145
s4-0002-0006	64	0	1794
s4-0002-0007	46	0	911
s4-0002-0008	35	0	285
s4-0002-0009	32	0	67
s4-0002-0010	64	0	1624
s4-0002-0011	31	0	20
s4-0002-0012	267	0	873
s4-0002-0013	253	0	373
s4-0002-0014	68	0	0
s4-0002-0015	227	0	0
s4-0003-0000	247	0	195
s4-0003-0001	240	0	48
s4-0003-0002	231	0	61
s4-0003-0003	232	0	10
s4-0003-0004	36	0	140
s4-0003-0005	35	0	96
s4-0003-0006	45	0	620
s4-0003-0007	31	0	47
s4-0003-0008	33	0	72
s4-0003-0009	32	0	11
s4-0003-0010	35	0	39
s4-0003-0011	30	0	3
s4-0003-0012	36	0	191
s4-0003-0013	232	0	79
s4-0003-0014	31	0	0
s4-0003-0015	231	0	0
s4-0004-0000	54	0	157
s4-0004-0001	88	0	30
s4-0004-0002	289	0	47
s4-0004-0003	40	0	115
s4-0004-0004	41	0	29
s4-0004-0005	45	0	223
s4-0004-0006	42	0	29
s4-0004-0007	289	0	0
s4-0004-0008	284	0	37
s4-0004-0009	40	0	9
s4-0004-0010	296	0	2
s4-0004-0011	284	0	2
s4-0004-0012	42	0	4
s4-0004-0013	48	0	84
s4-0004-0014	54	0	0
s4-0004-0015	55	0	2
s4-0005-0000	34	0	49
s4-0005-0001	230	0	8
s4-0005-0002	231	0	8
s4-0005-0003	218	0	4
s4-0005-0004	30	0	25
s4-0005-0005	235	0	68
s4-0005-0006	242	0	162
s4-0005-0007	69	0	32
s4-0005-0008	232	0	13
s4-0005-0009	30	0	1
s4-0005-0010	32	0	5
s4-0005-0011	32	0	3
s4-0005-0012	248	0	123
s4-0005-0013	232	0	0
s4-0005-0014	32	0	0
s4-0005-0015	237	0	0
s4-0006-0000	33	0	34
s4-0006-0001	32	0	10
s4-0006-0002	231	0	9
s4-0006-0003	240	0	42
s4-0006-0004	233	0	16
s4-0006-0005	38	0	176
s4-0006-0006	30	0	15
s4-0006-0007	31	0	0
s4-0006-0008	229	0	4
s4-0006-0009	231	0	5
s4-0006-0010	31	0	1
s4-0006-0011	233	0	2
s4-0006-0012	227	0	7
s4-0006-0013	235	0	3
s4-0006-0014	31	0	0
s4-0006-0015	32	0	0
s4-0007-0000	285	0	963
s4-0007-0001	33	0	179
s4-0007-0002	32	0	145
s4-0007-0003	71	0	243
s4-0007-0004	34	0	212
s4-0007-0005	252	0	58
s4-0007-0006	54	0	1547
s4-0007-0007	264	0	768
s4-0007-0008	244	0	167
s4-0007-0009	260	0	726
s4-0007-0010	301	0	1419
s4-0007-0011	32	0	0
s4-0007-0012	260	0	438
s4-0007-0013	270	0	759
s4-0007-0014	32	0	0
s4-0007-0015	231	0	0
s4-0008-0000	286	0	1174
s4-0008-0001	252	0	286
s4-0008-0002	36	0	241
s4-0008-0003	240	0	50
s4-0008-0004	259	0	415
s4-0008-0005	35	0	97
s4-0008-0006	297	0	1908
s4-0008-0007	268	0	365
s4-0008-0008	252	0	329
s4-0008-0009	47	0	812
s4-0008-0010	300	0	1592
s4-0008-0011	241	0	17
s4-0008-0012	280	0	838
s4-0008-0013	58	0	1551
s4-0008-0014	32	0	0
s4-0008-0015	31	0	0
s4-0009-0000	309	0	1292
s4-0009-0001	37	0	242
s4-0009-0002	43	0	790
s4-0009-0003	261	0	551
s4-0009-0004	86	0	398
s4-0009-0005	109	0	3439
s4-0009-0006	45	0	310
s4-0009-0007	31	0	0
s4-0009-0008	50	0	501
s4-0009-0009	240	0	49
s4-0009-0010	276	0	313
s4-0009-0011	45	0	213
s4-0009-0012	47	0	308
s4-0009-0013	39	0	365
s4-0009-0014	234	0	109
s4-0009-0015	32	0	0
s4-0010-0000	271	0	394
s4-0010-0001	244	0	139
s4-0010-0002	247	0	155
s4-0010-0003	239	0	47
s4-0010-0004	46	0	210
s4-0010-0005	39	0	36
s4-0010-0006	262	0	579
s4-0010-0007	81	0	185
s4-0010-0008	43	0	198
s4-0010-0009	238	0	158
s4-0010-0010	283	0	926
s4-0010-0011	40	0	48
s4-0010-0012	52	0	575
s4-0010-0013	275	0	816
s4-0010-0014	233	0	0
s4-0010-0015	233	0	0
s4-0011-0000	265	0	636
s4-0011-0001	248	0	149
s4-0011-0002	243	0	199
s4-0011-0003	238	0	37
s4-0011-0004	36	0	340
s4-0011-0005	250	0	299
s4-0011-0006	47	0	919
s4-0011-0007	32	0	53
s4-0011-0008	242	0	235
s4-0011-0009	239	0	45
s4-0011-0010	59	0	1628
s4-0011-0011	34	0	91
s4-0011-0012	261	0	586
s4-0011-0013	241	0	175
s4-0011-0014	229	0	0
s4-0011-0015	236	0	0
s4-0012-0000	53	0	178
s4-0012-0001	48	0	32
s4-0012-0002	42	0	58
s4-0012-0003	83	0	119
s4-0012-0004	42	0	36
s4-0012-0005	47	0	236
s4-0012-0006	299	0	39
s4-0012-0007	289	0	0
s4-0012-0008	283	0	49
s4-0012-0009	39	0	10
s4-0012-0010	296	0	5
s4-0012-0011	42	0	2
s4-0012-0012	303	0	9
s4-0012-0013	312	0	93
s4-0012-0014	54	0	0
s4-0012-0015	52	0	2
s4-0013-0000	286	0	1218
s4-0013-0001	39	0	367
s4-0013-0002	248	0	270
s4-0013-0003	248	0	275
s4-0013-0004	260	0	437
s4-0013-0005	253	0	140
s4-0013-0006	290	0	1780
s4-0013-0007	264	0	899
s4-0013-0008	37	0	270
s4-0013-0009	238	0	62
s4-0013-0010	77	0	1614
s4-0013-0011	36	0	18
s4-0013-0012	267	0	847
s4-0013-0013	257	0	351
s4-0013-0014	32	0	0
s4-0013-0015	236	0	0
s4-0014-0000	95	0	741
s4-0014-0001	44	0	189
